,model_name,mode,image_type,epoch,learning_rate,batch_size,batch_index,loss_batch,avg_train_loss_till_current_batch,avg_train_top1_acc_till_current_batch,avg_val_loss_till_current_batch,avg_val_top1_acc_till_current_batch,avg_test_loss_till_current_batch,avg_test_top1_acc_till_current_batch
0,Residual,train,original,1,1.1398895185373134e-06,64,0,1.6128771305084229,1.6128771305084229,84.375,,,,
1,Residual,train,original,1,1.1398895185373134e-06,64,1,1.6186621189117432,1.615769624710083,84.375,,,,
2,Residual,train,original,1,1.1398895185373134e-06,64,2,1.6283968687057495,1.619978706041972,84.89583333333333,,,,
3,Residual,train,original,1,1.1398895185373134e-06,64,3,1.6645350456237793,1.6311177909374237,83.59375,,,,
4,Residual,train,original,1,1.1398895185373134e-06,64,4,1.628873586654663,1.6306689500808715,83.125,,,,
5,Residual,train,original,1,1.1398895185373134e-06,64,5,1.6653335094451904,1.6364463766415913,82.55208333333333,,,,
6,Residual,train,original,1,1.1398895185373134e-06,16,6,1.7972264289855957,1.6428775787353516,81.75,,,,
7,Residual,val,original,1,1.1398895185373134e-06,64,0,1.5523062944412231,,,1.5523062944412231,90.625,,
8,Residual,val,original,1,1.1398895185373134e-06,64,1,1.523401141166687,,,1.537853717803955,92.1875,,
9,Residual,val,original,1,1.1398895185373134e-06,64,2,1.506921648979187,,,1.527543028195699,93.22916666666667,,
10,Residual,val,original,1,1.1398895185373134e-06,64,3,1.4955369234085083,,,1.5195415019989014,94.140625,,
11,Residual,val,original,1,1.1398895185373134e-06,64,4,1.5379599332809448,,,1.52322518825531,93.75,,
12,Residual,val,original,1,1.1398895185373134e-06,64,5,1.4849885702133179,,,1.5168524185816448,94.53125,,
13,Residual,val,original,1,1.1398895185373134e-06,64,6,1.511991262435913,,,1.516157967703683,94.64285714285714,,
14,Residual,val,original,1,1.1398895185373134e-06,64,7,1.5139302015304565,,,1.5158794969320297,94.7265625,,
15,Residual,val,original,1,1.1398895185373134e-06,64,8,1.5760481357574463,,,1.522564901245965,93.92361111111111,,
16,Residual,val,original,1,1.1398895185373134e-06,64,9,1.5167940855026245,,,1.5219878196716308,94.0625,,
17,Residual,val,original,1,1.1398895185373134e-06,64,10,1.54017972946167,,,1.5236416296525435,93.89204545454545,,
18,Residual,val,original,1,1.1398895185373134e-06,64,11,1.480107307434082,,,1.5200137694676716,94.27083333333333,,
19,Residual,val,original,1,1.1398895185373134e-06,64,12,1.5190775394439697,,,1.5199417517735407,94.23076923076923,,
20,Residual,val,original,1,1.1398895185373134e-06,64,13,1.536665439605713,,,1.5211363009044103,94.19642857142857,,
21,Residual,val,original,1,1.1398895185373134e-06,64,14,1.4760076999664307,,,1.518127727508545,94.47916666666667,,
22,Residual,val,original,1,1.1398895185373134e-06,40,15,1.5327736139297485,,,1.5187135629653932,94.4,,
23,Residual,test,original,1,1.1398895185373134e-06,64,0,1.6631567478179932,,,,,1.6631567478179932,79.6875
24,Residual,test,original,1,1.1398895185373134e-06,16,1,1.5379230976104736,,,,,1.6381100177764893,82.5
25,Residual,train,original,2,1.1398895185373134e-06,64,0,1.6139135360717773,1.6139135360717773,85.9375,,,,
26,Residual,train,original,2,1.1398895185373134e-06,64,1,1.6362711191177368,1.625092327594757,84.375,,,,
27,Residual,train,original,2,1.1398895185373134e-06,64,2,1.6330899000167847,1.6277581850687664,83.33333333333333,,,,
28,Residual,train,original,2,1.1398895185373134e-06,64,3,1.681636929512024,1.6412278711795807,82.03125,,,,
29,Residual,train,original,2,1.1398895185373134e-06,64,4,1.6701700687408447,1.6470163106918334,81.25,,,,
30,Residual,train,original,2,1.1398895185373134e-06,64,5,1.5920636653900146,1.6378575364748638,82.03125,,,,
31,Residual,train,original,2,1.1398895185373134e-06,16,6,1.584543228149414,1.6357249641418456,82.25,,,,
32,Residual,val,original,2,1.1398895185373134e-06,64,0,1.5516358613967896,,,1.5516358613967896,90.625,,
33,Residual,val,original,2,1.1398895185373134e-06,64,1,1.513071060180664,,,1.5323534607887268,92.96875,,
34,Residual,val,original,2,1.1398895185373134e-06,64,2,1.5216574668884277,,,1.5287881294886272,93.22916666666667,,
35,Residual,val,original,2,1.1398895185373134e-06,64,3,1.4931275844573975,,,1.5198729932308197,94.140625,,
36,Residual,val,original,2,1.1398895185373134e-06,64,4,1.5374101400375366,,,1.523380422592163,93.75,,
37,Residual,val,original,2,1.1398895185373134e-06,64,5,1.48710298538208,,,1.5173341830571492,94.53125,,
38,Residual,val,original,2,1.1398895185373134e-06,64,6,1.5138986110687256,,,1.516843387058803,94.64285714285714,,
39,Residual,val,original,2,1.1398895185373134e-06,64,7,1.512001872062683,,,1.516238197684288,94.7265625,,
40,Residual,val,original,2,1.1398895185373134e-06,64,8,1.5805872678756714,,,1.5233880943722196,93.92361111111111,,
41,Residual,val,original,2,1.1398895185373134e-06,64,9,1.5080020427703857,,,1.5218494892120362,94.0625,,
42,Residual,val,original,2,1.1398895185373134e-06,64,10,1.5481300354003906,,,1.5242386297746138,93.89204545454545,,
43,Residual,val,original,2,1.1398895185373134e-06,64,11,1.4845092296600342,,,1.5209278464317322,94.140625,,
44,Residual,val,original,2,1.1398895185373134e-06,64,12,1.5147215127944946,,,1.5204504361519446,94.11057692307692,,
45,Residual,val,original,2,1.1398895185373134e-06,64,13,1.5369806289672852,,,1.5216311642101832,93.97321428571429,,
46,Residual,val,original,2,1.1398895185373134e-06,64,14,1.4790079593658447,,,1.5187896172205606,94.27083333333333,,
47,Residual,val,original,2,1.1398895185373134e-06,40,15,1.5359810590744019,,,1.5194772748947143,94.2,,
48,Residual,test,original,2,1.1398895185373134e-06,64,0,1.6678353548049927,,,,,1.6678353548049927,79.6875
49,Residual,test,original,2,1.1398895185373134e-06,16,1,1.5342659950256348,,,,,1.6411214828491212,82.5
